"filename", "language", "TOML", "Rust", "Markdown", "comment", "blank", "total"
"c:\Users\lina\Documents\bevy\markevy\Cargo.lock", "TOML", 11, 0, 0, 0, 1, 12
"c:\Users\lina\Documents\bevy\markevy\Cargo.toml", "TOML", 1, 0, 0, 0, 0, 1
"c:\Users\lina\Documents\bevy\markevy\readme.md", "Markdown", 0, 0, 8, 0, 5, 13
"c:\Users\lina\Documents\bevy\markevy\src\components.rs", "Rust", 0, 2, 0, 0, 0, 2
"c:\Users\lina\Documents\bevy\markevy\src\main.rs", "Rust", 0, 7, 0, -1, 3, 9
"c:\Users\lina\Documents\bevy\markevy\src\resources.rs", "Rust", 0, 20, 0, 8, 5, 33
"c:\Users\lina\Documents\bevy\markevy\src\systems.rs", "Rust", 0, 210, 0, 12, 32, 254
"c:\Users\lina\Documents\bevy\markevy\src\trading_plugin.rs", "Rust", 0, 2, 0, 0, 0, 2
"Total", "-", 12, 241, 8, 19, 46, 326
